CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Total cash and cash equivalents,Total due from the central bank and call loans to banks,Total financial assets at fair value through profit or loss,"Derivative financial assets, net","Securities purchased under resell agreements, net","Receivables, net",Total current tax assets,"Assets classified as held for sale, net","Discounts and loans, net","Financial assets at fair value through other comprehensive income, net","Financial assets measured at amortized cost, net","Investments measured by equity method, net","Restricted assets, net","Other financial assets, net","Total property, plant and equipment",Right of use assets,"Investment property, net","Intangible assets, net",Total deferred tax assets,"Other assets, net",Total assets,Total deposits from the central bank and banks,Total due to the central bank and banks,Total financial liabilities at fair value through profit or loss,"Derivative financial liabilities, net",Financial liabilities measured at amortized cost,Total notes and bonds issued under repurchase agreement,Commercial Paper Payable,Total payables,Total current tax liabilities,Total liabilities related to assets classified as held for sale,Total deposits and remittances,Bonds & Convertible,Total preferred stock liabilities,Total other financial liabilities,Total provisions,Lease liabilities,Accrued Pension Payable,Total deferred income tax liabilities,Total other liabilities,Total liabilities,Common stock,Preferred stock,Advance receipts for capital stock,Reserve for capitalization,Employee Stock Option,Total capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated earnings,Total retained earnings,Exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to assets classified as held for sale,Unearned compensation,"Other equity, others",Total other equity interest,Total Treasury shares,Total equity attributable to owners of parent,Non-controlling interests,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Total equity,Total Liabilities & Equity
000024 CA-CIB,2023/12,4,N,12,NTD,"26,164","559,699","21,098,554",0,0,"5,661,228","207,573",0,"51,547,375","299,736","13,698,715",0,0,0,"69,582","233,097",0,0,"130,687","92,152,232","185,684,642",0,"1,000,000","22,476,364",0,0,0,0,"1,448,778","84,623",0,"122,021,111","7,100,000",0,0,"629,358","242,878",0,0,"24,945,255","179,948,367","2,760,820",0,0,0,0,"2,760,820",0,0,0,"2,968,638","2,968,638",-,-,-,-,-,-,-,-,-,"6,817",0,"5,736,275",0,0,0,"5,736,275","185,684,642"
000026 ING Taipei,2023/12,4,N,12,NTD,"116,043","378,371","22,063,322",0,0,"44,308,194","71,844",0,"20,655,797",0,0,0,0,0,"6,372","37,884",0,0,"367,549","2,303,303","90,308,679",0,0,"7,350,350","28,154",0,0,0,"656,231","142,728",0,"10,879,702",0,0,"1,473,960","116,567","39,380",0,0,"65,866,998","86,554,070","430,000",0,0,0,0,"430,000",0,0,0,"3,311,565","3,311,565","13,044",0,0,0,0,0,0,0,0,"13,044",0,"3,754,609",0,0,0,"3,754,609","90,308,679"
